season,week,celebrity_name,judge_score_final_percent,fan_votes_relative_percent,judge_weight,fan_weight,total_score
1,2,Evander Holyfield,0.113575722053002,0.0,0.5454816671291636,0.45451833287083643,0.06195347421087004
1,2,Joey McIntyre,0.1703635830795031,0.1973927969217804,0.5454816671291636,0.45451833287083643,0.18264885629390432
1,2,John O'Hurley,0.2273745361817473,0.2511968282990821,0.5454816671291636,0.45451833287083643,0.23820220468008035
1,2,Kelly Monaco,0.1386422370405515,0.1646189783869013,0.5454816671291636,0.45451833287083643,0.15044914221071135
1,2,Rachel Hunter,0.1952082710308202,0.2062510588859157,0.5454816671291636,0.45451833287083643,0.20022742055696452
1,2,Trista Sutter,0.1548356506143757,0.1805403375063203,0.5454816671291636,0.45451833287083643,0.16651890204746922
1,3,Evander Holyfield,0.1200009594708843,0.0,0.6295201203769031,0.3704798796230969,0.07554301845145495
1,3,Joey McIntyre,0.2037927305978864,0.2261748718956778,0.6295201203769031,0.3704798796230969,0.21208486361159934
1,3,John O'Hurley,0.2389107503889511,0.3042064647900641,0.6295201203769031,0.3704798796230969,0.2631014988001795
1,3,Kelly Monaco,0.1952046529825692,0.1807074727802125,0.6295201203769031,0.3704798796230969,0.18983373940632575
1,3,Rachel Hunter,0.2420909065597089,0.2889111905340455,0.6295201203769031,0.3704798796230969,0.2594368797304404
1,4,Joey McIntyre,0.2140912652420362,0.0,0.75,0.25,0.16056844893152716
1,4,John O'Hurley,0.2410552132768063,0.304483361746007,0.75,0.25,0.2569122503941065
1,4,Kelly Monaco,0.278260309415402,0.402166725053784,0.75,0.25,0.3092369133249975
1,4,Rachel Hunter,0.2665932120657554,0.2933499132002088,0.75,0.25,0.27328238734936877
2,1,Drew Lachey,0.1212115781030167,0.1596052415901271,0.5455057249846661,0.4544942750153339,0.13866127835477365
2,1,George Hamilton,0.0998241145400861,0.0,0.5455057249846661,0.4544942750153339,0.05445462597314202
2,1,Giselle Fernandez,0.1164269099167586,0.1386976239030831,0.5455057249846661,0.4544942750153339,0.126548821924047
2,1,Jerry Rice,0.1060601308401396,0.1032561563082125,0.5455057249846661,0.4544942750153339,0.10478574046808993
2,1,Kenny Mayne,0.0703550458613673,0.078420564450021,0.5455057249846661,0.4544942750153339,0.07402077788494016
2,1,Lisa Rinna,0.0964907944676235,0.0958149771414569,0.5455057249846661,0.4544942750153339,0.09618363936192462
2,1,Master P,0.0606057890515083,0.0452339358890331,0.5455057249846661,0.4544942750153339,0.05361936979278696
2,1,Stacy Keibler,0.1113232646488594,0.1284197121194416,0.5455057249846661,0.4544942750153339,0.11909350214733938
2,1,Tatum O'Neal,0.1164269099167586,0.1361647216763349,0.5455057249846661,0.4544942750153339,0.12539763236281637
2,1,Tia Carrere,0.1012754626538815,0.1143870669222893,0.5455057249846661,0.4544942750153339,0.10723461173013946
2,2,Drew Lachey,0.1334138054914976,0.161797094151792,0.5754234310345223,0.4245765689654777,0.14546468480684216
2,2,George Hamilton,0.1191512356160564,0.1115872869975924,0.5754234310345223,0.4245765689654777,0.11593976026379779
2,2,Giselle Fernandez,0.1185900493257757,0.1360690758302553,0.5754234310345223,0.4245765689654777,0.1260112344279043
2,2,Jerry Rice,0.1140370373803236,0.1207608700636809,0.5754234310345223,0.4245765689654777,0.11689181919132138
2,2,Lisa Rinna,0.0992132812146017,0.0893343060154296,0.5754234310345223,0.4245765689654777,0.09501889981964216
2,2,Master P,0.0786717927740618,0.0857516627109658,0.5754234310345223,0.4245765689654777,0.08167773966059433
2,2,Stacy Keibler,0.1436845497117675,0.1652209727112096,0.5754234310345223,0.4245765689654777,0.15282841029665983
