season,week,method,sample_count,fan_final_pearson,fan_final_spearman,judge_final_pearson,judge_final_spearman
1,2,rank,6,0.9411239481143204,0.9411239481143202,0.9411239481143204,0.9411239481143202
1,3,rank,5,0.9219544457292886,0.8999999999999998,0.9219544457292886,0.8999999999999998
1,4,rank,4,0.8366600265340756,0.7999999999999999,0.8366600265340757,0.7999999999999999
2,1,rank,10,0.9742240745590804,0.9573348703109935,0.9759656151490357,0.9785978481054537
2,2,rank,9,0.9813182138802905,0.9748243359065808,0.9809623075888577,0.9831311144536157
2,3,rank,8,0.9653981523413285,0.9581010095306072,0.9681037416806357,0.9757754965005869
2,4,rank,7,0.9964791318169686,1.0,0.9968056605717742,0.991031208965115
2,5,rank,6,0.9999999999999999,1.0,0.9999999999999999,1.0
2,6,rank,5,0.9851041099939042,0.9999999999999999,0.9837981563965341,0.9486832980505137
2,7,rank,4,0.9326733179802503,0.9486832980505139,0.9505863757867169,0.888888888888889
3,1,rank,11,0.9944677374934827,0.9954441676503464,0.9947047133190251,0.9931376117037632
3,2,rank,10,0.9878825508920452,0.996965091635306,0.9858858293991348,0.95068973677523
3,3,rank,9,0.975630805556077,0.9958246164193105,0.9754466572823748,0.9351103806213067
3,4,rank,8,0.9885862220339482,1.0,0.9876629881054763,0.9759000729485332
3,5,rank,7,0.9581402751608168,0.9910312089651149,0.9693312674859768,0.8743828992755145
3,7,rank,5,0.9921567416492213,0.9999999999999999,0.9938777433618282,0.9746794344808963
3,8,rank,4,0.8733337646093728,0.7999999999999999,0.8661541520797735,0.9486832980505139
4,2,rank,11,0.9861616260076624,0.9977246841962695,0.9842176673966102,0.9722280223008439
4,3,rank,10,0.9765162842137742,0.9878787878787878,0.9818402068210312,0.9566355184455129
4,4,rank,9,0.9845337374422185,0.991631652042901,0.9826562436210784,0.9533898305084746
4,5,rank,8,0.9940297973880047,0.9940297973880048,0.9940297973880048,0.9940297973880048
4,6,rank,7,0.9880597245261895,0.9910312089651149,0.9898338810326379,0.9818181818181818
4,7,rank,6,0.9914935292061409,1.0,0.9928594621115443,0.9710083124552246
4,8,rank,5,1.0,0.9999999999999999,1.0,0.9999999999999999
4,9,rank,4,0.9844951849708404,1.0,0.988538303359044,0.9486832980505139
5,1,rank,12,0.9744233580936938,0.9894797752097304,0.9736613906125244,0.9586799432502071
5,2,rank,11,0.9747409715469456,0.9977246841962695,0.9693529561263348,0.9413024106579683
