season,percent,rank,diff_rank_minus_percent
1,4.022376845793625,0.7591221235785381,-3.2632547222150867
2,-2.4873594026501564,0.7373786638231064,3.2247380664732628
3,-1.2586004014423064,4.020405407472157,5.279005808914463
4,-1.3242030116424268,3.1123496291871886,4.436552640829616
5,-1.6080437406617314,1.9380272683733557,3.546071009035087
6,-1.4174730597431384,1.8940347014784358,3.3115077612215744
7,-1.1259675842044827,1.7018201874257017,2.8277877716301845
8,-1.2990149770632353,0.8379451964349784,2.1369601734982138
9,-1.410101187574741,1.6806523209874118,3.0907535085621527
10,-1.6386412295170314,1.2726320204627095,2.911273249979741
11,-1.3812728783357249,1.9228311450257047,3.30410402336143
12,-1.3062672931188892,2.9653510371056626,4.271618330224552
13,-1.0811103777704272,1.3757357909054881,2.4568461686759155
14,-1.3417526998099343,1.6658842165922678,3.007636916402202
15,-1.1492445315659918,1.033463954635924,2.182708486201916
16,-1.6170097040020228,1.7188500806204872,3.33585978462251
17,-1.1517461187408449,1.1630587453899297,2.3148048641307746
18,-1.2443527733814164,2.942027267582317,4.1863800409637335
19,-1.0857300033482766,1.0970409369034242,2.182770940251701
20,-1.351860297112875,1.0415755570490732,2.3934358541619485
21,-1.258868339910331,1.3186720986902516,2.5775404386005825
22,-1.9104992145988637,1.5470242229532751,3.4575234375521386
23,-1.1870560259324754,1.0252830435987454,2.212339069531221
24,-1.2206580879820337,0.9530161753511158,2.1736742633331496
25,-1.1605069855667736,4.192600519712217,5.353107505278991
26,-2.206368901605855,1.050378102482154,3.256747004088009
27,-2.5301522304176802,1.264047294112065,3.7941995245297453
28,-1.6422917186927506,1.007563480886892,2.6498551995796427
29,-1.359041078292655,1.9110123671350576,3.2700534454277124
30,-1.1959334613100026,0.9463088543374095,2.142242315647412
31,-1.5054837517251392,1.1306708980795797,2.636154649804719
32,-1.7424786232197977,1.1085975060960207,2.8510761293158184
33,-1.6512642612177362,1.1125543889780514,2.7638186501957875
34,-1.390256694632008,0.8765096647093913,2.2667663593413994
