season,week,celebrity_name,ballroom_partner,partner_total_seasons,partner_avg_placement,partner_final_rate,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,age_group,results,placement,week_total_judge,season_total_weeks,weekly_contestant_count,weekly_sum_judge,weekly_mean_judge,weekly_std_judge,judge_pct,judge_share,judge_zscore,rank_pct,popularity_deviation,judge_rank_interaction,judge_popularity_interaction,rank_popularity_interaction,cumulative_weeks,relative_cumulative_weeks,week_total_judge_change,week_total_judge_trend,survival_advantage,weekly_judge_rank,weekly_judge_rank_pct,weekly_judge_share_rank,weekly_judge_share_rank_pct
1,1,Evander Holyfield,Edyta Sliwinska,11,7.545454545454546,0.18181818181818182,Athlete,Alabama,United States,42,35-44,Eliminated Week 3,5,18.0,6,6,109.0,18.166666666666668,2.714160398109638,0.9,0.1651376146788991,-0.06140634384863477,0.5,-0.4,0.45,-0.36000000000000004,-0.2,1,0.16666666666666666,0.0,18.0,0.0,4,0.6666666666666666,4,0.6666666666666666
1,2,Evander Holyfield,Edyta Sliwinska,11,7.545454545454546,0.18181818181818182,Athlete,Alabama,United States,42,35-44,Eliminated Week 3,5,14.0,6,6,121.0,20.166666666666668,4.445971959725642,0.5384615384615384,0.11570247933884298,-1.3870232926631432,0.16666666666666663,-0.3717948717948718,0.08974358974358972,-0.20019723865877712,-0.061965811965811954,2,0.3333333333333333,-4.0,16.0,0.0,6,1.0,6,1.0
1,3,Evander Holyfield,Edyta Sliwinska,11,7.545454545454546,0.18181818181818182,Athlete,Alabama,United States,42,35-44,Eliminated Week 3,5,13.0,6,5,106.0,21.2,4.969909455915671,0.5,0.12264150943396226,-1.649929455000344,0.19999999999999996,-0.30000000000000004,0.09999999999999998,-0.15000000000000002,-0.06,3,0.5,-1.0,13.5,0.0,5,1.0,5,1.0
1,1,Joey McIntyre,Ashly DelGrosso,4,7.25,0.25,Singer/Rapper,Massachusetts,United States,32,25-34,3rd Place,3,20.0,6,6,109.0,18.166666666666668,2.714160398109638,1.0,0.1834862385321101,0.6754697823349772,1.0,0.0,1.0,0.0,0.0,1,0.16666666666666666,0.0,20.0,0.0,1,0.16666666666666666,1,0.16666666666666666
1,2,Joey McIntyre,Ashly DelGrosso,4,7.25,0.25,Singer/Rapper,Massachusetts,United States,32,25-34,3rd Place,3,21.0,6,6,121.0,20.166666666666668,4.445971959725642,0.8076923076923077,0.17355371900826447,0.18743558008961364,0.6666666666666667,-0.14102564102564097,0.5384615384615385,-0.11390532544378694,-0.09401709401709399,2,0.3333333333333333,1.0,20.5,0.0,3,0.5,3,0.5
1,3,Joey McIntyre,Ashly DelGrosso,4,7.25,0.25,Singer/Rapper,Massachusetts,United States,32,25-34,3rd Place,3,22.0,6,5,106.0,21.2,4.969909455915671,0.8461538461538461,0.20754716981132076,0.1609687273171069,0.6,-0.24615384615384617,0.5076923076923077,-0.20828402366863907,-0.1476923076923077,3,0.5,1.0,21.5,0.0,3,0.6,3,0.6
1,4,Joey McIntyre,Ashly DelGrosso,4,7.25,0.25,Singer/Rapper,Massachusetts,United States,32,25-34,3rd Place,3,20.0,6,4,92.0,23.0,2.943920288775949,0.7692307692307693,0.21739130434782608,-1.0190493307301363,0.25,-0.5192307692307693,0.19230769230769232,-0.3994082840236687,-0.12980769230769232,4,0.6666666666666666,-2.0,21.0,0.0,4,1.0,4,1.0
1,5,Joey McIntyre,Ashly DelGrosso,4,7.25,0.25,Singer/Rapper,Massachusetts,United States,32,25-34,3rd Place,3,22.5,6,3,73.0,24.333333333333332,2.362907813126304,0.8333333333333334,0.3082191780821918,-0.7758801774444577,0.33333333333333337,-0.5,0.27777777777777785,-0.4166666666666667,-0.16666666666666669,5,0.8333333333333334,2.5,21.25,0.0,3,1.0,3,1.0
1,6,Joey McIntyre,Ashly DelGrosso,4,7.25,0.25,Singer/Rapper,Massachusetts,United States,32,25-34,3rd Place,3,0.0,6,3,54.5,18.166666666666668,15.73478100684383,0.0,0.0,-1.1545547827303786,0.33333333333333337,0.33333333333333337,0.0,0.0,0.11111111111111113,6,1.0,-22.5,11.25,0.0,3,1.0,3,1.0
1,1,John O'Hurley,Charlotte Jorgensen,1,2.0,1.0,Actor/Actress,Maine,United States,50,45-54,2nd Place,2,20.0,6,6,109.0,18.166666666666668,2.714160398109638,1.0,0.1834862385321101,0.6754697823349772,1.0,0.0,1.0,0.0,0.0,1,0.16666666666666666,0.0,20.0,0.0,1,0.16666666666666666,1,0.16666666666666666
1,2,John O'Hurley,Charlotte Jorgensen,1,2.0,1.0,Actor/Actress,Maine,United States,50,45-54,2nd Place,2,26.0,6,6,121.0,20.166666666666668,4.445971959725642,1.0,0.21487603305785125,1.3120490606272972,1.0,0.0,1.0,0.0,0.0,2,0.3333333333333333,6.0,23.0,0.0,1,0.16666666666666666,1,0.16666666666666666
1,3,John O'Hurley,Charlotte Jorgensen,1,2.0,1.0,Actor/Actress,Maine,United States,50,45-54,2nd Place,2,24.0,6,5,106.0,21.2,4.969909455915671,0.9230769230769231,0.22641509433962265,0.5633905456098738,0.8,-0.12307692307692308,0.7384615384615385,-0.11360946745562131,-0.09846153846153848,3,0.5,-2.0,25.0,0.0,2,0.4,2,0.4
1,4,John O'Hurley,Charlotte Jorgensen,1,2.0,1.0,Actor/Actress,Maine,United States,50,45-54,2nd Place,2,21.0,6,4,92.0,23.0,2.943920288775949,0.8076923076923077,0.22826086956521738,-0.6793662204867574,0.5,-0.3076923076923077,0.40384615384615385,-0.24852071005917162,-0.15384615384615385,4,0.6666666666666666,-3.0,22.5,0.0,3,0.75,3,0.75
1,5,John O'Hurley,Charlotte Jorgensen,1,2.0,1.0,Actor/Actress,Maine,United States,50,45-54,2nd Place,2,27.0,6,3,73.0,24.333333333333332,2.362907813126304,1.0,0.3698630136986301,1.128552985373758,1.0,0.0,1.0,0.0,0.0,5,0.8333333333333334,6.0,24.0,0.0,1,0.3333333333333333,1,0.3333333333333333
