season,week,celebrity_name,ballroom_partner,partner_total_seasons,partner_avg_placement,partner_final_rate,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,age_group,results,placement,week_total_judge,season_total_weeks,weekly_contestant_count,weekly_sum_judge,weekly_mean_judge,weekly_std_judge,judge_pct,judge_share,judge_zscore,rank_pct,popularity_deviation,cumulative_weeks,relative_cumulative_weeks,week_total_judge_change,week_total_judge_trend,survival_advantage,weekly_judge_rank,weekly_judge_rank_pct,weekly_judge_share_rank,weekly_judge_share_rank_pct,composite_attractiveness
1,1,Evander Holyfield,Edyta Sliwinska,11,7.545454545454546,0.1818181818181818,Athlete,Alabama,United States,42,35-44,Eliminated Week 3,5,18.0,6,6,109.0,18.166666666666668,2.714160398109638,0.9,0.1651376146788991,-0.0614063438486347,0.5,-0.4,1,0.1666666666666666,0.0,18.0,0.0,4,0.6666666666666666,4,0.6666666666666666,0.49824656469232775
1,2,Evander Holyfield,Edyta Sliwinska,11,7.545454545454546,0.1818181818181818,Athlete,Alabama,United States,42,35-44,Eliminated Week 3,5,14.0,6,6,121.0,20.166666666666668,4.445971959725642,0.5384615384615384,0.1157024793388429,-1.3870232926631432,0.1666666666666666,-0.3717948717948718,2,0.3333333333333333,-4.0,16.0,0.0,6,1.0,6,1.0,0.33097105928949744
1,3,Evander Holyfield,Edyta Sliwinska,11,7.545454545454546,0.1818181818181818,Athlete,Alabama,United States,42,35-44,Eliminated Week 3,5,13.0,6,5,106.0,21.2,4.969909455915671,0.5,0.1226415094339622,-1.649929455000344,0.1999999999999999,-0.3,3,0.5,-1.0,13.5,0.0,5,1.0,5,1.0,0.3381468012389762
1,1,Joey McIntyre,Ashly DelGrosso,4,7.25,0.25,Singer/Rapper,Massachusetts,United States,32,25-34,3rd Place,3,20.0,6,6,109.0,18.166666666666668,2.714160398109638,1.0,0.1834862385321101,0.6754697823349772,1.0,0.0,1,0.1666666666666666,0.0,20.0,0.0,1,0.1666666666666666,1,0.1666666666666666,0.707094767700131
1,2,Joey McIntyre,Ashly DelGrosso,4,7.25,0.25,Singer/Rapper,Massachusetts,United States,32,25-34,3rd Place,3,21.0,6,6,121.0,20.166666666666668,4.445971959725642,0.8076923076923077,0.1735537190082644,0.1874355800896136,0.6666666666666667,-0.1410256410256409,2,0.3333333333333333,1.0,20.5,0.0,3,0.5,3,0.5,0.6037901038919554
1,3,Joey McIntyre,Ashly DelGrosso,4,7.25,0.25,Singer/Rapper,Massachusetts,United States,32,25-34,3rd Place,3,22.0,6,5,106.0,21.2,4.969909455915671,0.8461538461538461,0.2075471698113207,0.1609687273171069,0.6,-0.2461538461538461,3,0.5,1.0,21.5,0.0,3,0.6,3,0.6,0.6051070673603381
1,4,Joey McIntyre,Ashly DelGrosso,4,7.25,0.25,Singer/Rapper,Massachusetts,United States,32,25-34,3rd Place,3,20.0,6,4,92.0,23.0,2.943920288775949,0.7692307692307693,0.217391304347826,-1.0190493307301365,0.25,-0.5192307692307693,4,0.6666666666666666,-2.0,21.0,0.0,4,1.0,4,1.0,0.4824610140589607
1,5,Joey McIntyre,Ashly DelGrosso,4,7.25,0.25,Singer/Rapper,Massachusetts,United States,32,25-34,3rd Place,3,22.5,6,3,73.0,24.33333333333333,2.362907813126304,0.8333333333333334,0.3082191780821918,-0.7758801774444577,0.3333333333333333,-0.5,5,0.8333333333333334,2.5,21.25,0.0,3,1.0,3,1.0,0.5582339447165907
1,6,Joey McIntyre,Ashly DelGrosso,4,7.25,0.25,Singer/Rapper,Massachusetts,United States,32,25-34,3rd Place,3,0.0,6,3,54.5,18.166666666666668,15.73478100684383,0.0,0.0,-1.1545547827303786,0.3333333333333333,0.3333333333333333,6,1.0,-22.5,11.25,0.0,3,1.0,3,1.0,0.27745642550806116
1,1,John O'Hurley,Charlotte Jorgensen,1,2.0,1.0,Actor/Actress,Maine,United States,50,45-54,2nd Place,2,20.0,6,6,109.0,18.166666666666668,2.714160398109638,1.0,0.1834862385321101,0.6754697823349772,1.0,0.0,1,0.1666666666666666,0.0,20.0,0.0,1,0.1666666666666666,1,0.1666666666666666,0.7550289472174263
1,2,John O'Hurley,Charlotte Jorgensen,1,2.0,1.0,Actor/Actress,Maine,United States,50,45-54,2nd Place,2,26.0,6,6,121.0,20.166666666666668,4.445971959725642,1.0,0.2148760330578512,1.3120490606272972,1.0,0.0,2,0.3333333333333333,6.0,23.0,0.0,1,0.1666666666666666,1,0.1666666666666666,0.814811817384056
1,3,John O'Hurley,Charlotte Jorgensen,1,2.0,1.0,Actor/Actress,Maine,United States,50,45-54,2nd Place,2,24.0,6,5,106.0,21.2,4.969909455915671,0.9230769230769232,0.2264150943396226,0.5633905456098738,0.8,-0.123076923076923,3,0.5,-2.0,25.0,0.0,2,0.4,2,0.4,0.7497314619473741
1,4,John O'Hurley,Charlotte Jorgensen,1,2.0,1.0,Actor/Actress,Maine,United States,50,45-54,2nd Place,2,21.0,6,4,92.0,23.0,2.943920288775949,0.8076923076923077,0.2282608695652173,-0.6793662204867574,0.5,-0.3076923076923077,4,0.6666666666666666,-3.0,22.5,0.0,3,0.75,3,0.75,0.6160401744831557
1,5,John O'Hurley,Charlotte Jorgensen,1,2.0,1.0,Actor/Actress,Maine,United States,50,45-54,2nd Place,2,27.0,6,3,73.0,24.33333333333333,2.362907813126304,1.0,0.3698630136986301,1.128552985373758,1.0,0.0,5,0.8333333333333334,6.0,24.0,0.0,1,0.3333333333333333,1,0.3333333333333333,0.8476134523133523
1,6,John O'Hurley,Charlotte Jorgensen,1,2.0,1.0,Actor/Actress,Maine,United States,50,45-54,2nd Place,2,27.0,6,3,54.5,18.166666666666668,15.73478100684383,0.9818181818181818,0.4954128440366973,0.5613890227955052,0.6666666666666667,-0.315151515151515,6,1.0,0.0,27.0,0.0,2,0.6666666666666666,2,0.6666666666666666,0.7583503214033827
1,1,Kelly Monaco,Alec Mazo,5,8.4,0.2,Actor/Actress,Pennsylvania,United States,29,25-34,1st Place,1,13.0,6,6,109.0,18.166666666666668,2.714160398109638,0.65,0.1192660550458715,-1.9035966593076648,0.1666666666666666,-0.4833333333333334,1,0.1666666666666666,0.0,13.0,0.0,6,1.0,6,1.0,0.32410983310705144
1,2,Kelly Monaco,Alec Mazo,5,8.4,0.2,Actor/Actress,Pennsylvania,United States,29,25-34,1st Place,1,17.0,6,6,121.0,20.166666666666668,4.445971959725642,0.6538461538461539,0.140495867768595,-0.7122552043405331,0.3333333333333333,-0.3205128205128205,2,0.3333333333333333,4.0,15.0,0.0,5,0.8333333333333334,5,0.8333333333333334,0.45296635308861327
1,3,Kelly Monaco,Alec Mazo,5,8.4,0.2,Actor/Actress,Pennsylvania,United States,29,25-34,1st Place,1,21.0,6,5,106.0,21.2,4.969909455915671,0.8076923076923077,0.1981132075471698,-0.0402421818292765,0.4,-0.4076923076923077,3,0.5,4.0,19.0,0.0,4,0.8,4,0.8,0.529055848049138
1,4,Kelly Monaco,Alec Mazo,5,8.4,0.2,Actor/Actress,Pennsylvania,United States,29,25-34,1st Place,1,26.0,6,4,92.0,23.0,2.943920288775949,1.0,0.2826086956521739,1.0190493307301365,1.0,0.0,4,0.6666666666666666,5.0,23.5,0.0,1,0.25,1,0.25,0.7974006530472945
