season,week,celebrity_name,ballroom_partner,categorical__celebrity_industry_Fitness Instructor,categorical__celebrity_industry_Model,categorical__celebrity_homestate_Arkansas,categorical__celebrity_homestate_California,categorical__celebrity_homestate_Indiana,categorical__celebrity_homestate_New Mexico,categorical__celebrity_homestate_Ohio,categorical__celebrity_homecountry/region_Canada,categorical__celebrity_homecountry/region_Italy,categorical__celebrity_homecountry/region_Taiwan China,categorical__age_group_45-54,numeric__partner_avg_placement,numeric__partner_final_rate,numeric__celebrity_age_during_season,numeric__weekly_contestant_count,numeric__judge_pct,numeric__judge_share,numeric__week_total_judge_change,numeric__week_total_judge_trend,numeric__weekly_judge_rank
1,1,Evander Holyfield,Edyta Sliwinska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6507982823298348,-0.4786311094018037,0.4447212641206995,-1.1712692126577566,0.3407727417805042,0.7820039318971146,-0.19226113831692276,-1.2593981751941539,-0.2779864203760762
1,2,Evander Holyfield,Edyta Sliwinska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6507982823298348,-0.4786311094018037,0.4447212641206995,-1.1712692126577566,-2.6085480936313807,-0.08495955886454024,-1.1374751063004138,-1.5926741531028963,0.3490624937676864
1,3,Evander Holyfield,Edyta Sliwinska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6507982823298348,-0.4786311094018037,0.4447212641206995,-1.5049398576578494,-2.922305629313496,0.03673295218822646,-0.42856463031279546,-2.009269125488824,0.03553803669580512
1,1,Joey McIntyre,Ashly DelGrosso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4765997378738518,-0.11330792337673828,-0.33256200191164226,-1.1712692126577566,1.156542334554004,1.103790994419078,-0.19226113831692276,-0.9261221972854116,-1.2185597915917201
1,2,Joey McIntyre,Ashly DelGrosso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4765997378738518,-0.11330792337673828,-0.33256200191164226,-1.1712692126577566,-0.4122453438565728,0.9296004771034686,0.04404235367894996,-0.8428032028082261,-0.5915108774479575
1,3,Joey McIntyre,Ashly DelGrosso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4765997378738518,-0.11330792337673828,-0.33256200191164226,-1.5049398576578494,-0.09848780817445761,1.5257570481035383,0.04404235367894996,-0.6761652138538549,-0.5915108774479575
1,4,Joey McIntyre,Ashly DelGrosso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4765997378738518,-0.11330792337673828,-0.33256200191164226,-1.8386105026579422,-0.7260028795386879,1.6983975229922694,-0.6648681223086682,-0.7594842083310405,-0.2779864203760762
1,5,Joey McIntyre,Ashly DelGrosso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4765997378738518,-0.11330792337673828,-0.33256200191164226,-2.172281147658035,-0.20307365340182904,3.2912818132755755,0.39849759167275906,-0.7178247110924477,-0.5915108774479575
1,6,Joey McIntyre,Ashly DelGrosso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4765997378738518,-0.11330792337673828,-0.33256200191164226,-2.172281147658035,-7.001153593180996,-2.1140796308005556,-5.509089708224058,-2.384204600636159,-0.5915108774479575
1,1,John O'Hurley,Charlotte Jorgensen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.618774398228612,3.9052471228989805,1.066547876946573,-1.1712692126577566,1.156542334554004,1.103790994419078,-0.19226113831692276,-0.9261221972854116,-1.2185597915917201
